,index,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Length
6831,19662,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,832,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech7,1539,119,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,7
6832,19663,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,88,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech2,691,120,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,2
6833,19664,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,53,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech5,720,121,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,5
6834,19665,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,434,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech1,1016,122,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,1
6835,19666,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,330,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech6,1012,123,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,6
6836,19667,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,127,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech7,827,124,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,7
6837,19668,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,190,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech3,815,125,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,3
6838,19669,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,44,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech4,689,126,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,4
6839,19670,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,603,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech8,1313,127,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,8
6840,19671,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,343,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech4,975,128,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,4
