"","participant_id","sub_id","exp","Onset","Length","Shorter","Correct","rLength","fOnset","Explabel","fOnsetE"
"125","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",2,1,0,-1.09107531487555,"early","EXP10b","early"
"126","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",5,0,0,0.218215062975111,"early","EXP10b","early"
"127","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",8,0,0,1.52750544082578,"late","EXP10b","late"
"128","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",6,1,0,0.654645188925333,"ontime","EXP10b","ontime"
"129","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",7,0,0,1.09107531487555,"early","EXP10b","early"
"130","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",5,0,0,0.218215062975111,"ontime","EXP10b","ontime"
"131","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",3,0,0,-0.654645188925333,"late","EXP10b","late"
"132","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",5,0,0,0.218215062975111,"late","EXP10b","late"
"133","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",1,1,0,-1.52750544082578,"ontime","EXP10b","ontime"
"134","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",7,0,0,1.09107531487555,"late","EXP10b","late"
"135","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",3,0,0,-0.654645188925333,"ontime","EXP10b","ontime"
"136","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",3,1,0,-0.654645188925333,"early","EXP10b","early"
"137","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",2,1,0,-1.09107531487555,"late","EXP10b","late"
"138","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",1,1,0,-1.52750544082578,"early","EXP10b","early"
"139","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",8,0,0,1.52750544082578,"early","EXP10b","early"
"140","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",4,0,0,-0.218215062975111,"early","EXP10b","early"
"141","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",8,0,0,1.52750544082578,"ontime","EXP10b","ontime"
"142","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",6,0,0,0.654645188925333,"early","EXP10b","early"
"143","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",7,0,0,1.09107531487555,"ontime","EXP10b","ontime"
"144","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",4,1,0,-0.218215062975111,"late","EXP10b","late"
"145","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",4,0,0,-0.218215062975111,"late","EXP10b","late"
"146","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",6,0,0,0.654645188925333,"early","EXP10b","early"
"147","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",3,1,0,-0.654645188925333,"ontime","EXP10b","ontime"
"148","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",4,0,0,-0.218215062975111,"early","EXP10b","early"
"149","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",5,0,0,0.218215062975111,"ontime","EXP10b","ontime"
"150","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",2,1,0,-1.09107531487555,"ontime","EXP10b","ontime"
"151","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",8,0,0,1.52750544082578,"early","EXP10b","early"
"152","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",7,0,0,1.09107531487555,"early","EXP10b","early"
"153","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",5,1,0,0.218215062975111,"early","EXP10b","early"
"154","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",1,1,0,-1.52750544082578,"ontime","EXP10b","ontime"
"155","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",7,0,0,1.09107531487555,"ontime","EXP10b","ontime"
"156","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",3,1,0,-0.654645188925333,"early","EXP10b","early"
